0,1,2,3
2001-01-09,5.3,-0.38%,down
2001-01-10,5.32,0.38%,0
2001-01-11,5.32,0.00%,0
2001-01-12,5.33,0.19%,0
2001-01-13,5.33,-0.56%,down
2001-01-14,5.33,-0.56%,down
2001-01-15,5.3,-0.56%,down
2001-01-16,5.31,0.19%,0
2001-01-17,5.31,0.00%,0
2001-01-18,5.32,0.19%,0
2001-01-19,5.28,-0.75%,down
2001-01-20,5.28,-1.52%,down
2001-01-21,5.28,-1.52%,down
2001-01-22,5.2,-1.52%,down
2001-01-23,5.2,0.77%,0
2001-01-24,5.2,0.77%,0
2001-01-25,5.2,0.77%,0
2001-01-26,5.24,0.77%,0
2001-01-27,5.24,0.95%,0
2001-01-28,5.24,0.95%,0
2001-01-29,5.29,0.95%,0
2001-01-30,5.28,-0.19%,down
2001-01-31,5.27,-0.19%,down
2001-02-01,5.3,0.57%,0
2001-02-02,5.28,-0.38%,down
2001-02-03,5.28,0.38%,0
2001-02-04,5.28,0.38%,0
2001-02-05,5.3,0.38%,0
2001-02-06,5.31,0.19%,0
2001-02-07,5.28,-0.56%,down
2001-02-08,5.06,-4.17%,down
2001-02-09,5.06,0.00%,0
2001-02-10,5.06,0.20%,0
2001-02-11,5.06,0.20%,0
2001-02-12,5.07,0.20%,0
2001-02-13,5.05,-0.39%,down
2001-02-14,5.05,0.00%,0
2001-02-15,5.06,0.20%,0
2001-02-16,5.08,0.40%,0
2001-02-17,5.08,-0.39%,down
2001-02-18,5.08,-0.39%,down
2001-02-19,5.06,-0.39%,down
2001-02-20,5.06,0.00%,0
2001-02-21,5.04,-0.40%,down
2001-02-22,4.99,-0.99%,down
2001-02-23,5.06,1.40%,
2001-02-24,5.06,0.20%,0
2001-02-25,5.06,0.20%,0
2001-02-26,5.07,0.20%,0
2001-02-27,5.05,-0.39%,down
2001-02-28,5.06,0.20%,0
2001-03-01,5.06,-0.59%,down
2001-03-02,5.03,-0.59%,down
2001-03-03,5.03,0.80%,0
2001-03-04,5.03,0.80%,0
2001-03-05,5.07,0.80%,0
2001-03-06,5.07,0.00%,0
2001-03-07,5.02,-0.99%,down
2001-03-08,5.04,0.40%,0
2001-03-09,5.09,0.99%,0
2001-03-10,5.09,-1.38%,down
2001-03-11,5.09,-1.38%,down
2001-03-12,5.02,-1.38%,down
2001-03-13,5.0,-0.40%,down
2001-03-14,5.0,0.00%,0
2001-03-15,5.0,0.00%,0
2001-03-16,5.07,1.40%,
2001-03-17,5.07,-1.38%,down
2001-03-18,5.07,-1.38%,down
2001-03-19,5.0,-1.38%,down
2001-03-20,5.01,0.20%,0
2001-03-21,5.03,0.40%,0
2001-03-22,4.99,-0.80%,down
2001-03-23,5.01,0.40%,0
