,date,price,up_and_down,label
0,2005-05-01,3.29,0.61%,up
1,2005-05-02,3.29,0.00%,0
2,2005-05-03,3.3,0.30%,up
3,2005-05-04,3.21,-2.73%,down
4,2005-05-05,3.21,1.87%,up
5,2005-05-06,3.27,1.87%,up
6,2005-05-07,3.27,0.61%,up
7,2005-05-08,3.27,0.61%,up
8,2005-05-09,3.29,0.61%,up
9,2005-05-10,3.3,0.30%,up
10,2005-05-11,3.3,0.00%,0
11,2005-05-12,3.3,0.00%,0
12,2005-05-13,3.29,-0.30%,down
13,2005-05-14,3.29,0.00%,0
14,2005-05-15,3.29,0.00%,0
15,2005-05-16,3.29,0.00%,0
16,2005-05-17,3.29,0.00%,0
17,2005-05-18,3.29,0.00%,0
18,2005-05-19,3.19,-3.04%,down
19,2005-05-20,3.23,1.25%,up
20,2005-05-21,3.23,1.86%,up
21,2005-05-22,3.23,1.86%,up
22,2005-05-23,3.29,1.86%,up
23,2005-05-24,3.29,0.00%,0
24,2005-05-25,3.29,0.00%,0
25,2005-05-26,3.29,0.00%,0
26,2005-05-27,3.29,0.00%,0
27,2005-05-28,3.29,0.00%,0
28,2005-05-29,3.29,0.00%,0
29,2005-05-30,3.29,0.00%,0
30,2005-05-31,3.29,0.00%,0
31,2005-06-01,3.28,-0.30%,down
32,2005-06-02,3.28,0.00%,0
33,2005-06-03,3.21,-2.13%,down
34,2005-06-04,3.21,-0.31%,down
35,2005-06-05,3.21,-0.31%,down
36,2005-06-06,3.21,-0.31%,down
37,2005-06-07,3.2,-0.31%,down
38,2005-06-08,3.28,2.50%,up
39,2005-06-09,3.28,0.00%,0
40,2005-06-10,3.29,0.30%,up
41,2005-06-11,3.29,-0.30%,down
42,2005-06-12,3.29,-0.30%,down
43,2005-06-13,3.28,-0.30%,down
44,2005-06-14,3.29,0.30%,up
45,2005-06-15,3.28,-0.30%,down
46,2005-06-16,3.27,-0.30%,down
47,2005-06-17,3.27,0.00%,0
48,2005-06-18,3.27,0.00%,0
49,2005-06-19,3.27,0.00%,0
50,2005-06-20,3.27,0.00%,0
51,2005-06-21,3.2,-2.14%,down
52,2005-06-22,3.21,0.31%,up
53,2005-06-23,3.27,1.87%,up
54,2005-06-24,3.27,0.00%,0
55,2005-06-25,3.27,0.00%,0
56,2005-06-26,3.27,0.00%,0
57,2005-06-27,3.27,0.00%,0
58,2005-06-28,3.26,-0.31%,down
59,2005-06-29,3.26,0.00%,0
60,2005-06-30,3.3,1.23%,up
61,2005-07-01,3.26,-1.21%,down
62,2005-07-02,3.26,-0.31%,down
63,2005-07-03,3.26,-0.31%,down
64,2005-07-04,3.25,-0.31%,down
65,2005-07-05,3.23,-0.62%,down
66,2005-07-06,3.09,-4.33%,down
67,2005-07-07,3.03,-1.94%,down
68,2005-07-08,3.12,2.97%,up
69,2005-07-09,3.12,2.88%,up
70,2005-07-10,3.12,2.88%,up
71,2005-07-11,3.21,2.88%,up
72,2005-07-12,3.21,0.00%,0
73,2005-07-13,3.27,1.87%,up
74,2005-07-14,3.27,0.00%,0
75,2005-07-15,3.26,-0.31%,down
76,2005-07-16,3.26,0.00%,0
77,2005-07-17,3.26,0.00%,0
78,2005-07-18,3.26,0.00%,0
79,2005-07-19,3.27,0.31%,up
80,2005-07-20,3.27,0.00%,0
81,2005-07-21,3.21,-1.83%,down
82,2005-07-22,3.29,2.49%,up
83,2005-07-23,3.29,-0.30%,down
84,2005-07-24,3.29,-0.30%,down
85,2005-07-25,3.28,-0.30%,down
86,2005-07-26,3.27,-0.30%,down
87,2005-07-27,3.27,0.00%,0
88,2005-07-28,3.28,0.31%,up
89,2005-07-29,3.27,-0.30%,down
90,2005-07-30,3.27,0.00%,0
91,2005-07-31,3.27,0.00%,0
92,2005-08-01,3.27,0.00%,0
93,2005-08-02,3.27,0.00%,0
94,2005-08-03,3.27,0.00%,0
95,2005-08-04,3.27,0.00%,0
96,2005-08-05,3.23,-1.22%,down
97,2005-08-06,3.23,0.93%,up
98,2005-08-07,3.23,0.93%,up
99,2005-08-08,3.26,0.93%,up
100,2005-08-09,3.26,0.00%,0
