,date,body,ngram
0,2017-11-30,일부 위원은 최근 미국의 금융·경제상황을 보면 금년 12월 미 연준이 금리를  인상할 것으로 예견되고 실물경기도 견조한 회복세를 지속하고 있음에도 불구하  고 수익률곡선은 계속 평탄화되고 있다고 지적하였음,"fed/NNG;금리/NNG;인상/NNG,견조/NNG;회복/NNG"
1,2017-11-30,일각에서는 미국의 장기실  질균형금리 및 기대인플레이션의 하락을 그 원인으로 거론하고 있지만 이 같은  요인은 이미 이전부터 장기금리에 반영되어 왔으므로 최근의 수익률곡선 변화를  설명하는 데에 한계가 있는 것으로 보인다고 언급하였음,기대/NNG;인플레이션/NNG;하락/NNG
2,2017-11-30,"한편 이러한 현상을 향  후 실물경기의 침체 우려와 글로벌 장기채권 수요의 유입에 따른 결과로 해석하  는 시각도 있다고 소개하고, 이에 대한 관련부서의 견해를 물었음",실물/NNG;경기/NNG;침체/NNG;우려/NNG
3,2017-11-30,"이에 대해 관련부서에서는 수익률곡선의 평탄화나 장단기금리차의 역전이 장  기금리의 하락에 의해 주도되는 경우에는 향후 실물경기의 침체를 예고하는 신호  (signal)로 받아들여질 수 있겠지만, 최근 미국의 수익률곡선 평탄화는 주로 재무  부의 단기채권 발행 확대 방침, 미 연준의 금리인상 기대 등으로 단기금리가 크  게 상승한 데에 따른 것으로 보인다고 답변하였음","단기물/NNG;발행/NNG;확대/NNG,fed/NNG;금리/NNG;인상/NNG,실물/NNG;경기/NNG;침체/NNG,금리/NNG;하락/NNG"
5,2017-11-30,비록 일부 선반영된 측면도 있겠지만  미 의회에서 세제개편안을 가결한다면 재정적자 보전을 위한 장기국채의 발행 전  망이 부각되면서 수익률곡선이 가팔라질 가능성도 있을 것으로 생각된다고 답변    - 10 -  하였음,재정/NNG;적자/NNG
6,2017-11-30,"이와 관련하여 동 위원은 한·미 간 장기금리의 동조화 경향에도 불구하고 우  리나라의 수익률곡선이 미국과 달리 가팔라지고 있는 이유는 무엇인지 관련부서  의 견해를 물었으며,  이에 대해 관련부서에서는 과거 장기금리의 움직임을 보면 우리나라처럼 정  책금리가 인상국면으로 전환되는 시기에는 선반영하여 상승하였다가 현재의 미국  과 같이 정책금리가 수차례 인상된 다음에 하락하였다고 설명하고, 이러한 측면  이 반영되어 양국 간 수익률곡선이 차별화되고 있는 것으로 풀이된다고 답변하였  음",금리/NNG;인상/NNG
7,2017-11-30,"이어서 동 위원은 원/달러 환율과의 마이너스 상관관계가 높아지면서 거주자  외화예금이 환율 변동성의 완화요인으로 작용하고 있는 것으로 평가되었는데, 이  들 지표가 플러스의 상관관계를 나타낸 적은 없는지 관련부서에 물었으며,  이에 대해 관련부서에서는 금융위기 당시 거주자 외화예금과 원/달러 환율이  플러스의 상관관계를 나타낸 적이 있다고 답변하였음","변동성/NNG;완화/NNG,지표/NNG;플러스/NNG"
8,2017-11-30,이에 동 위원은 이들 지표 간의 마이너스 상관관계가 강화된 것은 외환시장  의 복원력 제고를 반영한 결과로 해석된다는 견해를 밝혔음,지표/NNG;마이너스/NNG
11,2017-11-30,"이에 동 위원은 금년 3/4분기 부동산임대업대출이 큰 폭으로 늘어났다고 지적  하면서, 부동산 익스포저(exposure)가 계속 확대되고 있는지 관련부서에 물었으며,  이에 대해 관련부서에서는 비록 둔화되긴 하였지만 주택담보대출의 증가세가  여전히 높은 수준에 있고 최근 들어 부동산임대업대출도 크게 늘어나고 있어 부  동산 익스포저가 계속 확대되고 있는 것으로 추정된다고 답변하였음","대출/NNG;도크/NNG;늘/VV,주택담보대출/NNG;증가/NNG"
12,2017-11-30,"아울러 동 위원은 일각에서는 은행이 대출 증가속도 관리, 수익성 확보 등을  위해 가계대출의 가산금리를 인상하고 있다는 주장이 제기되고 있다고 소개하고,  이에 대한 관련부서의 견해를 물었으며,  이에 대해 관련부서에서는 가계대출 가산금리의 상승은 그간 고정금리·분할상    - 11 -  환 목표비율 도입으로 크게 낮아졌던 가산금리가 일부 정상화되는 과정으로도 해  석될 수 있다고 답변하였음","대출/NNG;스프레드/NNG;인상/NNG,대출/NNG;스프레드/NNG;상승/NNG,은행/NNG;대출/NNG;증가/NNG"
